timestamp,ATT.Roll,lat,lon,roll_std_5,roll_mean_5
1021.805827,2.64,39.8170368,30.1207074,0.034928498,2.658
1021.905827,2.65,39.8170368,30.1207074,0.025884358,2.648
1022.005827,2.66,39.8170369,30.1207075,0.014832397,2.642
1022.105827,2.66,39.8170369,30.1207075,0.016733201,2.646
1022.205827,2.65,39.817037,30.1207076,0.0083666,2.652
1022.305827,2.63,39.817037,30.1207076,0.012247449,2.65
1022.405827,2.6,39.8170371,30.1207077,0.025495098,2.64
1022.505827,2.6,39.8170371,30.1207077,0.027748874,2.628
1022.605827,2.62,39.8170372,30.1207077,0.021213203,2.62
1022.705827,2.63,39.8170372,30.1207077,0.015165751,2.616
1022.805827,2.62,39.8170372,30.1207078,0.013416408,2.614
1022.905827,2.59,39.8170372,30.1207078,0.016431677,2.612
1023.005827,2.53,39.8170373,30.1207077,0.040865633,2.598
1023.105827,2.52,39.8170373,30.1207077,0.050695167,2.578
1023.205827,2.54,39.8170374,30.1207077,0.043011626,2.56
1023.305827,2.58,39.8170374,30.1207077,0.031144823,2.552
1023.405827,2.61,39.8170375,30.1207077,0.037815341,2.556
1023.505827,2.62,39.8170375,30.1207077,0.043358967,2.574
1023.605827,2.61,39.8170376,30.1207075,0.032710854,2.592
1023.705827,2.59,39.8170376,30.1207075,0.016431677,2.602
1023.805827,2.7,39.8170375,30.1207076,0.042778499,2.626
1023.905827,2.68,39.8170375,30.1207076,0.047434165,2.64
1024.005827,2.55,39.8170375,30.1207077,0.062689712,2.626
1024.105827,2.49,39.8170375,30.1207077,0.088147603,2.602
1024.205827,2.53,39.8170376,30.1207077,0.094074439,2.59
1024.305827,2.6,39.8170376,30.1207077,0.073143694,2.57
1024.405827,2.69,39.8170376,30.1207077,0.076941536,2.572
1024.505827,2.77,39.8170376,30.1207077,0.114804181,2.616
1024.605827,2.64,39.8170375,30.1207076,0.090719347,2.646
1024.705827,2.53,39.8170375,30.1207076,0.090719347,2.646
1024.805827,2.46,39.8170373,30.1207076,0.123975804,2.618
1024.905827,2.4,39.8170373,30.1207076,0.147478812,2.56
1025.005827,2.49,39.8170373,30.1207076,0.089610267,2.504
1025.105827,2.67,39.8170373,30.1207076,0.101242284,2.51
1025.205827,2.78,39.8170374,30.1207077,0.158902486,2.56
1025.305827,2.72,39.8170374,30.1207077,0.160530371,2.612
1025.405827,2.67,39.8170375,30.1207077,0.108305125,2.666
1025.505827,2.58,39.8170375,30.1207077,0.073688534,2.684
1025.605827,2.33,39.8170376,30.1207076,0.17586927,2.616
1025.705827,2.2,39.8170376,30.1207076,0.225055549,2.5
1025.805827,2.29,39.8170376,30.1207077,0.200823305,2.414
1025.905827,2.48,39.8170376,30.1207077,0.15241391,2.376
1026.005827,2.64,39.8170376,30.1207078,0.173407036,2.388
1026.105827,2.55,39.8170376,30.1207078,0.182674574,2.432
1026.205827,2.41,39.8170376,30.1207078,0.133529023,2.474
1026.305827,2.34,39.8170376,30.1207078,0.117175083,2.484
1026.405827,2.2,0,0,0.173118457,2.428
1026.505827,2.29,0,0,0.131795296,2.358
1026.605827,0,0,0,1.035890921,1.848
1026.705827,0,0,0,1.247990385,1.366
1026.805827,0,0,0,1.23004878,0.898
1026.905827,0,0,0,1.024119134,0.458
1027.005827,0,0,0,0,0
1027.105827,0,0,0,0,0
1027.205827,0,0,0,0,0
1027.305827,0,0,0,0,0
1027.405827,0,0,0,0,0
1027.505827,0,0,0,0,0
1027.605827,0,0,0,0,0
1027.705827,0,0,0,0,0
1027.805827,0,0,0,0,0
1027.905827,0,0,0,0,0
1028.005827,0,0,0,0,0
1028.105827,0,0,0,0,0
1028.205827,0,0,0,0,0
1028.305827,0,0,0,0,0
1028.405827,0,0,0,0,0
1028.505827,0,0,0,0,0
1028.605827,0,0,0,0,0
1028.705827,0,0,0,0,0
1028.805827,0,0,0,0,0
1028.905827,0,0,0,0,0
1029.005827,0,0,0,0,0
1029.105827,0,0,0,0,0
1029.205827,0,0,0,0,0
1029.305827,0,0,0,0,0
1029.405827,0,0,0,0,0
1029.505827,0,0,0,0,0
1029.605827,0,0,0,0,0
1029.705827,0,0,0,0,0
1029.805827,2.63,0,0,1.176171756,0.526
1029.905827,2.65,0,0,1.446004841,1.056
1030.005827,2.66,39.8170398,30.1207075,1.449679275,1.588
1030.105827,2.67,39.8170398,30.1207075,1.186326262,2.122
1030.205827,2.66,39.8170412,30.1207077,0.015165751,2.654
1030.305827,2.65,39.8170412,30.1207077,0.0083666,2.658
1030.405827,2.58,39.8170418,30.1207078,0.036469165,2.644
1030.505827,2.48,39.8170418,30.1207078,0.07981228,2.608
1030.605827,2.16,39.8170421,30.1207079,0.206349219,2.506
1030.705827,1.99,39.8170421,30.1207079,0.284200633,2.372
1030.805827,1.73,39.8170429,30.1207079,0.349528254,2.188
1030.905827,1.32,39.8170429,30.1207079,0.43901025,1.936
1031.005827,0.41,39.8170429,30.1207079,0.697617374,1.522
1031.105827,-0.05,39.8170443,30.1207075,0.870919055,1.08
1031.205827,0.2,39.8170467,30.1207059,0.764767939,0.722
1031.305827,0.27,39.8170467,30.1207059,0.52473803,0.43
1031.405827,0.18,39.8170511,30.1207027,0.167242339,0.202
1031.505827,0.23,39.8170511,30.1207027,0.125419297,0.166
1031.605827,0.24,39.8170577,30.1206982,0.035071356,0.224
1031.705827,0.27,39.8170577,30.1206982,0.037013511,0.238
1031.805827,-0.18,39.8170666,30.120693,0.186198818,0.148
1031.905827,-0.38,39.8170666,30.120693,0.297371821,0.036
1032.005827,-0.14,39.8170779,30.1206874,0.282701256,-0.038
1032.105827,0.28,39.8170779,30.1206874,0.29291637,-0.03
1032.205827,1.09,39.8170911,30.1206821,0.585901016,0.134
1032.305827,1.76,39.8170911,30.1206821,0.889617896,0.522
1032.405827,2.73,39.817106,30.1206771,1.150317348,1.144
