timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
524157.872,398181227,301189888,-8.9
524257.872,398181227,301189888,-8.26
524357.872,398180881,301190062,-8.08
524457.872,398180881,301190062,-7.72
524557.872,398180538,301190247,-6.83
524657.872,398180538,301190247,-7.79
524757.872,398180538,301190247,-8.88
524857.872,398180201,301190438,-7.51
524957.872,398180201,301190438,-6.64
525057.872,398179869,301190634,-7.29
525157.872,398179540,301190832,-7.22
525257.872,398179540,301190832,-6.15
525357.872,398179213,301191033,-4.93
525457.872,398179213,301191033,-5.16
525557.872,398178887,301191236,-4.77
525657.872,398178887,301191236,-4.77
525757.872,398178887,301191236,-3.61
525857.872,398178562,301191442,-3.68
525957.872,398178237,301191652,-3.86
526057.872,398178237,301191652,-3.86
526157.872,398177912,301191867,-3.04
526257.872,398177912,301191867,-2.87
526357.872,398177589,301192087,-2.82
526457.872,398177589,301192087,-3.21
526557.872,398177266,301192310,-3.63
526657.872,398177266,301192310,-2.99
526757.872,398177266,301192310,-2.55
526857.872,398176943,301192536,-2.63
526957.872,398176620,301192764,-1.7
527057.872,398176620,301192764,-1.15
527157.872,398176297,301192993,-0.030000000000000054
527257.872,398176297,301192993,0.39
527357.872,398175972,301193224,0.58
527457.872,398175972,301193224,1.34
527557.872,398175646,301193458,0.96
527657.872,398175646,301193458,-0.09000000000000002
527757.872,398175646,301193458,-1.04
527857.872,398175319,301193694,-0.86
527957.872,398174993,301193931,0.68
528057.872,398174993,301193931,0.64
528157.872,398174666,301194169,0.74
528257.872,398174666,301194169,2.17
528357.872,398174339,301194407,4.89
528457.872,398174339,301194407,5.91
528557.872,398174013,301194645,3.8
528657.872,398174013,301194645,1.94
528757.872,398173685,301194884,1.47
528857.872,398173685,301194884,1.61
528957.872,398173354,301195123,1.48
529057.872,398173354,301195123,1.36
529157.872,398173021,301195363,1.4
529257.872,398173021,301195363,1.75
529357.872,398172685,301195603,1.75
529457.872,398172685,301195603,2.07
529557.872,398172346,301195840,1.93
529657.872,398172346,301195840,2.1
529757.872,398172346,301195840,1.92
529857.872,398172007,301196077,0.87
529957.872,398171668,301196314,1.13
530057.872,398171668,301196314,1.56
530157.872,398171327,301196552,3.22
530257.872,398171327,301196552,4.8
530357.872,398170984,301196790,7.36
530457.872,398170984,301196790,9.65
530557.872,398170984,301196790,12.06
530657.872,398170640,301197025,13.52
530757.872,398170640,301197025,15.19
530857.872,398170291,301197253,16.67
530957.872,398169936,301197470,18.62
531057.872,398169936,301197470,19.52
531157.872,398169575,301197677,21.83
531257.872,398169575,301197677,22.99
531357.872,398169208,301197872,25.13
531457.872,398169208,301197872,26.34
531557.872,398168835,301198052,28.21
531657.872,398168835,301198052,29.81
531757.872,398168835,301198052,32.79
531857.872,398168457,301198214,34.12
531957.872,398168071,301198350,35.91
532057.872,398168071,301198350,37.01
532157.872,398167678,301198453,37.23
532257.872,398167678,301198453,36.46
532357.872,398167278,301198522,35.21
532457.872,398167278,301198522,35.35
532557.872,398166876,301198560,34.9
532657.872,398166876,301198560,34.87
532757.872,398166876,301198560,35.33
532857.872,398166475,301198570,35.95
532957.872,398166075,301198546,36.62
533057.872,398166075,301198546,36.18
533157.872,398165677,301198494,33.23
533257.872,398165677,301198494,30.39
533357.872,398165285,301198421,25.42
533457.872,398165285,301198421,22.74
533557.872,398164898,301198328,18.01
533657.872,398164898,301198328,14.79
533757.872,398164898,301198328,10.16
533857.872,398164516,301198222,7.25
533957.872,398164139,301198108,2.88
534057.872,398164139,301198108,-0.6000000000000003
534157.872,398163762,301197993,-5.81
534257.872,398163762,301197993,-8.55
534357.872,398163383,301197882,-10.89
534457.872,398163383,301197882,-12.18
534557.872,398163000,301197779,-15.18
534657.872,398163000,301197779,-16.69
534757.872,398163000,301197779,-19.48
534857.872,398162614,301197689,-20.64
534957.872,398162224,301197614,-21.68
535057.872,398162224,301197614,-22.25
535157.872,398161828,301197558,-22.95
535257.872,398161828,301197558,-24
535357.872,398161428,301197523,-26.64
535457.872,398161428,301197523,-27.95
535557.872,398161028,301197511,-30.59
535657.872,398161028,301197511,-32.59
535757.872,398161028,301197511,-33.04
535857.872,398160624,301197526,-33.74
535957.872,398160220,301197572,-34.65
536057.872,398160220,301197572,-34.91
536157.872,398159817,301197650,-36.12
536257.872,398159817,301197650,-36.29
536357.872,398159420,301197766,-36.32
536457.872,398159420,301197766,-37.31
536557.872,398159030,301197921,-37.27
536657.872,398159030,301197921,-36.8
536757.872,398159030,301197921,-36.72
536857.872,398158652,301198106,-36.75
536957.872,398158290,301198322,-37.47
537057.872,398158290,301198322,-38.65
537157.872,398158290,301198322,-37.05
537257.872,398157944,301198567,-35.55
537357.872,398157614,301198832,-33.71
537457.872,398157614,301198832,-34.38
537557.872,398157299,301199113,-34.99
537657.872,398157299,301199113,-35.71
537757.872,398157299,301199113,-36.61
537857.872,398156999,301199407,-36.44
537957.872,398156719,301199717,-36.34
538057.872,398156719,301199717,-36.36
538157.872,398156464,301200046,-35.43
538257.872,398156464,301200046,-34.33
538357.872,398156233,301200391,-32.76
538457.872,398156233,301200391,-31.57
538557.872,398156021,301200744,-28.32
538657.872,398156021,301200744,-26.52
538757.872,398156021,301200744,-25.69
538857.872,398155824,301201100,-26.08
538957.872,398155646,301201460,-28.46
539057.872,398155646,301201460,-28.97
539157.872,398155490,301201828,-28.79
539257.872,398155490,301201828,-28.54
539357.872,398155354,301202203,-26.54
539457.872,398155354,301202203,-25.05
539557.872,398155236,301202580,-24.6
539657.872,398155236,301202580,-25.84
539757.872,398155236,301202580,-29.12
539857.872,398155132,301202956,-30.34
539957.872,398155039,301203331,-30.63
540057.872,398155039,301203331,-31.01
540157.872,398154959,301203705,-31.93
540257.872,398154959,301203705,-32.23
540357.872,398154898,301204076,-32.93
540457.872,398154898,301204076,-34.07
540557.872,398154864,301204441,-33.42
540657.872,398154864,301204441,-31.96
