timestamp(ms),ATT.Roll,GPS[0].Lat,GPS[0].Lng
1036905.827,-4.39,398176701,301204730
1037005.827,-5.48,398176701,301204730
1037105.827,-5.64,398176988,301204535
1037205.827,-4.48,398177273,301204337
1037305.827,-3.54,398177273,301204337
1037405.827,-2.21,398177558,301204135
1037505.827,-1.93,398177558,301204135
1037605.827,-2.76,398177842,301203927
1037705.827,-3.59,398177842,301203927
1037805.827,-2.05,398178126,301203713
1037905.827,-0.6100000000000001,398178126,301203713
1038005.827,1.06,398178126,301203713
1038105.827,1.19,398178416,301203498
1038205.827,0.76,398178708,301203284
1038305.827,1.37,398178708,301203284
1038405.827,1.9,398179004,301203068
1038505.827,2.19,398179004,301203068
1038605.827,2.93,398179304,301202850
1038705.827,3.13,398179304,301202850
1038805.827,4.45,398179608,301202631
1038905.827,4.57,398179608,301202631
1039005.827,5.01,398179608,301202631
1039105.827,5.32,398179912,301202412
1039205.827,5.52,398180220,301202195
1039305.827,5.95,398180220,301202195
1039405.827,6.14,398180530,301201982
1039505.827,5.89,398180530,301201982
1039605.827,5.36,398180845,301201771
1039705.827,5.39,398180845,301201771
1039805.827,6.06,398181165,301201560
1039905.827,6.33,398181165,301201560
1040005.827,6.04,398181165,301201560
1040105.827,5.79,398181486,301201348
1040205.827,5.5,398181808,301201138
1040305.827,5.7,398181808,301201138
1040405.827,5.6,398182131,301200931
1040505.827,5.38,398182131,301200931
1040605.827,5.4,398182455,301200731
1040705.827,5.55,398182455,301200731
1040805.827,6.73,398182781,301200534
1040905.827,8.67,398182781,301200534
1041005.827,8.94,398182781,301200534
1041105.827,8.88,398183108,301200341
1041205.827,7.36,398183438,301200151
1041305.827,6.28,398183438,301200151
1041405.827,6.55,398183766,301199962
1041505.827,6.01,398183766,301199962
1041605.827,5.89,398184095,301199774
1041705.827,5.14,398184095,301199774
1041805.827,5.03,398184426,301199591
1041905.827,5.27,398184426,301199591
1042005.827,4.74,398184426,301199591
1042105.827,4.54,398184759,301199413
1042205.827,3.81,398185091,301199237
1042305.827,3.29,398185091,301199237
1042405.827,3.87,398185425,301199062
1042505.827,4.58,398185425,301199062
1042605.827,4.36,398185757,301198890
1042705.827,4.77,398185757,301198890
1042805.827,3.53,398186087,301198720
1042905.827,3.33,398186087,301198720
1043005.827,3.61,398186087,301198720
1043105.827,3.23,398186416,301198550
1043205.827,2.39,398186741,301198383
1043305.827,1.58,398186741,301198383
1043405.827,1.3,398187067,301198219
1043505.827,1.13,398187067,301198219
1043605.827,1.61,398187390,301198053
1043705.827,2.13,398187390,301198053
1043805.827,2.6,398187711,301197886
1043905.827,3.29,398187711,301197886
1044005.827,3.89,398187711,301197886
1044105.827,4.13,398188030,301197721
1044205.827,3.58,398188347,301197561
1044305.827,3.76,398188347,301197561
1044405.827,4.93,398188661,301197400
1044505.827,5.5,398188661,301197400
1044605.827,5.95,398188975,301197242
